MADRID;BARCELONA;621
MADRID;VALENCIA;357
MADRID;MURCIA;399
MADRID;SEVILLA;534
MADRID;HUELVA;616
MADRID;JAEN;331
MADRID;CADIZ;652
MADRID;ALMERIA;551
MADRID;GRANADA;420
MADRID;CORDOBA;394
MADRID;MALAGA;529
MADRID;MARBELLA;583
MADRID;ZARAGOZA;314
MADRID;TOLEDO;72,3
MADRID;VALLADOLID;216
MADRID;MERIDA;343
MADRID;SANTIAGO DE COMPOSTELA;605
MADRID;GIJON;468
MADRID;SANTANDER;424
MADRID;BILBAO;397
MADRID;PAMPLONA;389
MADRID;LOGROÑO;327
BARCELONA;VALENCIA;351
BARCELONA;MURCIA;578
BARCELONA;SEVILLA;966
BARCELONA;HUELVA;1090
BARCELONA;JAEN;799
BARCELONA;CADIZ;1117
BARCELONA;ALMERIA;787
BARCELONA;GRANADA;847
BARCELONA;CORDOBA;862
BARCELONA;MALAGA;968
BARCELONA;MARBELLA;1023
BARCELONA;ZARAGOZA;313
BARCELONA;TOLEDO;692
BARCELONA;VALLADOLID;727
BARCELONA;MERIDA;961
BARCELONA;SANTIAGO DE COMPOSTELA;1091
BARCELONA;GIJON;873
BARCELONA;SANTANDER;708
BARCELONA;BILBAO;610
BARCELONA;PAMPLONA;485
BARCELONA;LOGROÑO;477
VALENCIA;MURCIA;218
VALENCIA;SEVILLA;654
VALENCIA;HUELVA;748
VALENCIA;JAEN;457
VALENCIA;CADIZ;775
VALENCIA;ALMERIA;428
VALENCIA;GRANADA;450
VALENCIA;CORDOBA;521
VALENCIA;MALAGA;609
VALENCIA;MARBELLA;663
VALENCIA;ZARAGOZA;309
VALENCIA;TOLEDO;369
VALENCIA;VALLADOLID;548
VALENCIA;MERIDA;595
VALENCIA;SANTIAGO DE COMPOSTELA;960
VALENCIA;GIJON;823
VALENCIA;SANTANDER;710
VALENCIA;BILBAO;612
VALENCIA;PAMPLONA;487
VALENCIA;LOGROÑO;479
MURCIA;SEVILLA;523
MURCIA;HUELVA;619
MURCIA;JAEN;335
MURCIA;CADIZ;568
MURCIA;ALMERIA;218
MURCIA;GRANADA;278
MURCIA;CORDOBA;476
MURCIA;MALAGA;399
MURCIA;MARBELLA;459
MURCIA;ZARAGOZA;537
MURCIA;TOLEDO;391
MURCIA;VALLADOLID;594
MURCIA;MERIDA;606
MURCIA;SANTIAGO DE COMPOSTELA;1006
MURCIA;GIJON;869
MURCIA;SANTANDER;816
MURCIA;BILBAO;783
MURCIA;PAMPLONA;715
MURCIA;LOGROÑO;693
SEVILLA;HUELVA;93,8
SEVILLA;JAEN;246
SEVILLA;CADIZ;122
SEVILLA;ALMERIA;412
SEVILLA;GRANADA;250
SEVILLA;CORDOBA;141
SEVILLA;MALAGA;205
SEVILLA;MARBELLA;209
SEVILLA;ZARAGOZA;833
SEVILLA;TOLEDO;477
SEVILLA;VALLADOLID;586
SEVILLA;MERIDA;194
SEVILLA;SANTIAGO DE COMPOSTELA;891
SEVILLA;GIJON;799
SEVILLA;SANTANDER;830
SEVILLA;BILBAO;863
SEVILLA;PAMPLONA;915
SEVILLA;LOGROÑO;838